DEB [20231115-15:09:45.100] thr=1   paramiko.transport: starting thread (client mode): 0xb67aed90
DEB [20231115-15:09:45.102] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.6.0
DEB [20231115-15:09:45.667] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.9
INF [20231115-15:09:45.668] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20231115-15:09:45.955] thr=1   paramiko.transport: kex algos:['curve25519-sha256', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group16-sha512', 'diffie-hellman-group18-sha512', 'diffie-hellman-group14-sha256'] server key:['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20231115-15:09:45.956] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20231115-15:09:45.956] thr=1   paramiko.transport: HostKey agreed: ecdsa-sha2-nistp256
DEB [20231115-15:09:45.956] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20231115-15:09:45.956] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20231115-15:09:45.957] thr=1   paramiko.transport: Compression agreed: none
DEB [20231115-15:09:46.282] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20231115-15:09:46.284] thr=1   paramiko.transport: Switch to new keys ...
DEB [20231115-15:09:49.826] thr=2   paramiko.transport: starting thread (client mode): 0xb67cd9d0
DEB [20231115-15:09:49.827] thr=2   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.6.0
DEB [20231115-15:09:50.371] thr=2   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.9
INF [20231115-15:09:50.371] thr=2   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20231115-15:09:50.642] thr=2   paramiko.transport: kex algos:['curve25519-sha256', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group16-sha512', 'diffie-hellman-group18-sha512', 'diffie-hellman-group14-sha256'] server key:['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20231115-15:09:50.642] thr=2   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20231115-15:09:50.642] thr=2   paramiko.transport: HostKey agreed: ecdsa-sha2-nistp256
DEB [20231115-15:09:50.643] thr=2   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20231115-15:09:50.643] thr=2   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20231115-15:09:50.643] thr=2   paramiko.transport: Compression agreed: none
DEB [20231115-15:09:50.948] thr=2   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20231115-15:09:50.949] thr=2   paramiko.transport: Switch to new keys ...
DEB [20231115-15:09:51.257] thr=2   paramiko.transport: userauth is OK
DEB [20231115-15:09:51.580] thr=2   paramiko.transport: Authentication type (password) not permitted.
DEB [20231115-15:09:51.580] thr=2   paramiko.transport: Allowed methods: ['publickey']
DEB [20231115-15:10:00.691] thr=3   paramiko.transport: starting thread (client mode): 0xb67ae520
DEB [20231115-15:10:00.692] thr=3   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.6.0
DEB [20231115-15:10:01.259] thr=3   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.9
INF [20231115-15:10:01.259] thr=3   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
